256
type x y z
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
Ar 0.0 0.0 0.0
256
type x y z
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
Ar nan nan nan
